N,q,N2_func,mobile,n,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
600,0.002,5,True,8.0,6.0,0_0_51,1000,1000,1,2,1.5115007081855065,0,1.0,0.0
600,0.003,5,True,11.0,9.0,0_0_52,1000,1000,7,3,0.11311257983019257,0,1.0,0.0
600,0.004,5,True,16.0,12.0,0_0_53,1000,1000,3,3,2.8511276906106944,0,1.0,0.0
600,0.005,5,True,17.0,15.0,0_0_54,1000,1000,7,4,1.4067042703946044,0,1.0,0.0
600,0.006,5,True,22.0,18.0,0_0_55,1000,1000,5,7,3.7053846694258517,0,1.0,0.0
600,0.007,5,True,28.0,22.0,0_0_56,1000,1000,9,5,3.7410363928483146,0,1.0,0.0
600,0.008,5,True,27.0,24.0,0_0_57,1000,1000,6,2,4.8361107453164065,0,1.0,0.0
600,0.009,5,True,35.0,27.0,0_0_58,1000,1000,4,9,9.015860077720056,0,1.0,0.0
600,0.01,5,True,36.0,30.0,0_0_59,1000,1000,10,14,5.780745471136984,0,1.0,0.0
700,0.001,5,True,4.0,4.0,0_0_60,1000,1000,1,2,0.15641682376214633,0,1.0,0.0
700,0.002,5,True,9.0,7.0,0_0_61,1000,1000,2,4,0.8744499633446275,0,1.0,0.0
700,0.003,5,True,14.0,11.0,0_0_62,1000,1000,2,3,2.289166904143091,0,1.0,0.0
700,0.004,5,True,16.0,14.0,0_0_63,1000,1000,11,5,-0.08873487203287636,0,1.0,0.0
700,0.005,5,True,22.0,18.0,0_0_64,1000,1000,3,4,4.090030000688765,0,1.0,0.0
700,0.006,5,True,28.0,21.0,0_0_65,1000,1000,6,9,4.139910519492538,0,1.0,0.0
700,0.007,5,True,26.0,25.0,0_0_66,1000,1000,7,6,3.0929546873479357,0,1.0,0.0
700,0.008,5,True,31.0,28.0,0_0_67,1000,1000,7,11,4.505317213430177,0,1.0,0.0
700,0.009,5,True,34.0,32.0,0_0_68,1000,1000,9,11,4.410077150875309,0,1.0,0.0
700,0.01,5,True,40.0,35.0,0_0_69,1000,1000,14,7,4.018292992666596,0,1.0,0.0
800,0.001,5,True,5.0,4.0,0_0_70,1000,1000,0,0,0.9857865322113255,0,1.0,1.0
800,0.002,5,True,9.0,8.0,0_0_71,1000,1000,0,0,2.1805578107664005,0,1.0,1.0
800,0.003,5,True,13.0,12.0,0_0_72,1000,1000,4,5,0.6608802938384106,0,1.0,0.0
800,0.004,5,True,18.0,16.0,0_0_73,1000,1000,4,3,1.7908524010075948,0,1.0,0.0
800,0.005,5,True,24.0,20.0,0_0_74,1000,1000,5,3,2.805596215835609,0,1.0,0.0
800,0.006,5,True,26.0,24.0,0_0_75,1000,1000,11,7,1.065850919081952,0,1.0,0.0
800,0.007,5,True,35.0,29.0,0_0_76,1000,1000,5,9,5.836132677577709,0,1.0,0.0
800,0.008,5,True,40.0,32.0,0_0_77,1000,1000,8,10,5.49872434008784,0,1.0,0.0
800,0.009,5,True,44.0,36.0,0_0_78,1000,1000,12,8,4.67584037279643,0,1.0,0.0
800,0.01,5,True,50.0,40.0,0_0_79,1000,1000,22,7,2.7110954566007246,0,1.0,0.0
900,0.001,5,True,5.0,5.0,0_0_80,1000,1000,0,1,0.8458079592257315,0,1.0,0.0
900,0.002,5,True,13.0,9.0,0_0_81,1000,1000,3,2,0.768037197824249,0,1.0,0.0
900,0.003,5,True,17.0,14.0,0_0_82,1000,1000,5,3,0.7777946265747488,0,1.0,0.0
900,0.004,5,True,22.0,18.0,0_0_83,1000,1000,3,3,2.8572665166096765,0,1.0,0.0
900,0.005,5,True,28.0,23.0,0_0_84,1000,1000,8,6,1.854402890712199,0,1.0,0.0
900,0.006,5,True,34.0,27.0,0_0_85,1000,1000,7,6,3.6042216734295125,0,1.0,0.0
900,0.007,5,True,38.0,32.0,0_0_86,1000,1000,1,8,9.324225724630137,0,1.0,0.0
900,0.008,5,True,45.0,36.0,0_0_87,1000,1000,7,4,6.356428574551707,0,1.0,0.0
900,0.009,5,True,46.0,41.0,0_0_88,1000,1000,9,6,5.507266088260178,0,1.0,0.0
900,0.01,5,True,53.0,45.0,0_0_89,1000,1000,12,10,5.751689173591804,0,1.0,0.0
1000,0.001,5,True,5.0,5.0,0_0_90,1000,1000,1,0,0.029766664930341743,0,1.0,0.0
1000,0.002,5,True,11.0,10.0,0_0_91,1000,1000,1,3,1.1983293051769877,0,1.0,0.0
1000,0.003,5,True,20.0,15.0,0_0_92,1000,1000,2,2,2.5876403446157132,0,1.0,0.0
1000,0.004,5,True,24.0,20.0,0_0_93,1000,1000,4,5,2.2724103245481944,0,1.0,0.0
1000,0.005,5,True,28.0,25.0,0_0_94,1000,1000,5,6,2.6232211078314402,0,1.0,0.0
1000,0.006,5,True,34.0,30.0,0_0_95,1000,1000,7,11,2.935899026339851,0,1.0,0.0
1000,0.007,5,True,41.0,35.0,0_0_96,1000,1000,3,9,7.181522229842225,0,1.0,0.0
1000,0.008,5,True,45.0,40.0,0_0_97,1000,1000,8,9,4.8680822412808915,0,1.0,0.0
1000,0.009,5,True,57.0,45.0,0_0_98,1000,1000,9,10,7.132575020871732,0,1.0,0.0
1000,0.01,5,True,63.0,50.0,0_0_99,1000,1000,12,11,6.939959315232018,0,1.0,0.0
100,0.001,5,True,1.0,1.0,0_1_0,1000,1000,1,1,0.43901620867120483,0,1.0,0.0
100,0.002,5,True,1.0,1.0,0_1_1,1000,1000,1,1,0.43901620867120483,0,1.0,0.0
100,0.003,5,True,2.0,2.0,0_1_2,1000,1000,4,1,0.43337463433943435,0,1.0,0.0
100,0.004,5,True,2.0,2.0,0_1_3,1000,1000,5,5,0.28579616894287535,0,1.0,0.0
100,0.005,5,True,3.0,3.0,0_1_4,1000,1000,8,6,0.34380965916651013,0,1.0,0.0
100,0.006,5,True,3.0,3.0,0_1_5,1000,1000,3,9,1.2258065905405908,0,1.0,0.0
100,0.007,5,True,5.0,4.0,0_1_6,1000,1000,2,9,3.1326445655179707,0,1.0,0.0
100,0.008,5,True,4.0,4.0,0_1_7,1000,1000,14,11,0.2210610232367139,0,1.0,0.0
100,0.009,5,True,5.0,5.0,0_1_8,1000,1000,8,7,1.3575648386255217,0,1.0,0.0
100,0.01,5,True,5.0,5.0,0_1_9,1000,1000,11,5,0.9265859064052501,0,1.0,0.0
200,0.001,5,True,1.0,1.0,0_1_10,1000,1000,2,1,-7.297006796900609e-05,0,1.0,0.0
200,0.002,5,True,2.0,2.0,0_1_11,1000,1000,1,3,0.6022757972606022,0,1.0,0.0
200,0.003,5,True,5.0,3.0,0_1_12,1000,1000,3,1,1.3829828156872206,0,1.0,0.0
200,0.004,5,True,4.0,4.0,0_1_13,1000,1000,5,5,0.41340068140773645,0,1.0,0.0
200,0.005,5,True,5.0,5.0,0_1_14,1000,1000,3,3,1.381474459338206,0,1.0,0.0
200,0.006,5,True,7.0,6.0,0_1_15,1000,1000,8,6,0.9956715906121563,0,1.0,0.0
200,0.007,5,True,8.0,8.0,0_1_16,1000,1000,7,6,1.6737138534907483,0,1.0,0.0
200,0.008,5,True,11.0,8.0,0_1_17,1000,1000,5,9,3.94530085133157,0,1.0,0.0
200,0.009,5,True,9.0,9.0,0_1_18,1000,1000,7,10,2.1592778107476662,0,1.0,0.0
200,0.01,5,True,10.0,10.0,0_1_19,1000,1000,6,8,3.0017278125038875,0,1.0,0.0
