N,q,N2_func,mobile,n,variance,std,N2,SNP,Nhom1,Nhom2,nhom1,nhom2,log10BF,transcript,Method_A,Method_B
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,0_0_0,1000,1000,6,8,1.7986251075137614,0,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,0_0_1,1000,1000,7,13,10.751534091142375,0,1.0,0.0
300,0.01,10.0,1.0,34.0,2.9699999999999998,1.7233687939614086,30.0,0_0_2,1000,1000,5,10,15.08373426002081,0,1.0,0.0
400,0.01,10.0,1.0,45.0,3.96,1.98997487421324,40.0,0_0_3,1000,1000,13,10,12.22493814616284,0,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,0_0_4,1000,1000,10,7,26.387006617122445,0,1.0,0.0
600,0.01,15.0,1.0,96.0,5.9399999999999995,2.437211521390788,90.0,0_0_5,1000,1000,8,10,30.536660188845076,0,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,0_0_6,1000,1000,10,10,30.769791946920986,0,1.0,0.0
800,0.01,15.0,1.0,123.0,7.92,2.814249455894058,120.0,0_0_7,1000,1000,13,10,28.194380094551587,0,1.0,0.0
900,0.01,15.0,1.0,147.0,8.91,2.98496231131986,135.0,0_0_8,1000,1000,9,4,35.966625533456366,0,1.0,0.0
1000,0.01,20.0,1.0,214.0,9.9,3.146426544510455,200.0,0_0_9,1000,1000,6,11,57.366779942671826,0,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,0_1_0,1000,1000,11,15,2.0239315272192986,0,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,0_1_1,1000,1000,12,13,6.5999307058792125,0,1.0,0.0
300,0.01,10.0,1.0,37.0,2.9699999999999998,1.7233687939614086,30.0,0_1_2,1000,1000,11,15,12.961707263376152,0,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,0_1_3,1000,1000,10,4,12.953347907679486,0,1.0,0.0
500,0.01,15.0,1.0,82.0,4.95,2.224859546128699,75.0,0_1_4,1000,1000,19,12,21.242001770429518,0,1.0,0.0
600,0.01,15.0,1.0,95.0,5.9399999999999995,2.437211521390788,90.0,0_1_5,1000,1000,6,22,32.02524471705775,0,1.0,0.0
700,0.01,15.0,1.0,115.0,6.93,2.6324893162176366,105.0,0_1_6,1000,1000,4,4,38.25519817138358,0,1.0,0.0
800,0.01,15.0,1.0,128.0,7.92,2.814249455894058,120.0,0_1_7,1000,1000,10,8,32.49674292040765,0,1.0,0.0
900,0.01,15.0,1.0,140.0,8.91,2.98496231131986,135.0,0_1_8,1000,1000,12,6,30.897568676920443,0,1.0,0.0
1000,0.01,20.0,1.0,208.0,9.9,3.146426544510455,200.0,0_1_9,1000,1000,6,9,55.33689934835488,0,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,0_2_0,1000,1000,16,9,0.8238103698934265,0,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,0_2_1,1000,1000,15,10,7.3358066674397335,0,1.0,0.0
300,0.01,10.0,1.0,34.0,2.9699999999999998,1.7233687939614086,30.0,0_2_2,1000,1000,10,9,11.858020678707916,0,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,0_2_3,1000,1000,7,15,14.873126539300195,0,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,0_2_4,1000,1000,13,9,23.234515501100567,0,1.0,0.0
600,0.01,15.0,1.0,96.0,5.9399999999999995,2.437211521390788,90.0,0_2_5,1000,1000,8,8,30.544051659072892,0,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,0_2_6,1000,1000,8,12,32.61585506141345,0,1.0,0.0
800,0.01,15.0,1.0,133.0,7.92,2.814249455894058,120.0,0_2_7,1000,1000,8,9,36.23560446494241,0,1.0,0.0
900,0.01,15.0,1.0,148.0,8.91,2.98496231131986,135.0,0_2_8,1000,1000,13,11,32.628308576455154,0,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,0_2_9,1000,1000,13,20,48.18094743279292,0,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,1_0_0,1000,1000,7,8,1.5662380294445162,1,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,1_0_1,1000,1000,9,7,9.084897513872848,1,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,1_0_2,1000,1000,10,10,11.308500315331086,1,1.0,0.0
400,0.01,10.0,1.0,42.0,3.96,1.98997487421324,40.0,1_0_3,1000,1000,16,9,9.499238762260797,1,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,1_0_4,1000,1000,6,13,28.946626726176437,1,1.0,0.0
600,0.01,15.0,1.0,96.0,5.9399999999999995,2.437211521390788,90.0,1_0_5,1000,1000,8,4,30.554812611910577,1,1.0,0.0
700,0.01,15.0,1.0,113.0,6.93,2.6324893162176366,105.0,1_0_6,1000,1000,11,7,30.301080955234287,1,1.0,0.0
800,0.01,15.0,1.0,124.0,7.92,2.814249455894058,120.0,1_0_7,1000,1000,12,7,29.35626112611242,1,1.0,0.0
900,0.01,15.0,1.0,152.0,8.91,2.98496231131986,135.0,1_0_8,1000,1000,4,9,43.37797707329407,1,1.0,0.0
1000,0.01,20.0,1.0,214.0,9.9,3.146426544510455,200.0,1_0_9,1000,1000,11,7,51.552538662995644,1,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,1_1_0,1000,1000,11,9,0.9235765214049478,1,1.0,0.0
200,0.01,10.0,1.0,24.0,1.98,1.407124727947029,20.0,1_1_1,1000,1000,8,16,10.890580617048009,1,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,1_1_2,1000,1000,6,9,13.754566225337717,1,1.0,0.0
400,0.01,10.0,1.0,42.0,3.96,1.98997487421324,40.0,1_1_3,1000,1000,7,13,14.379810369242966,1,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,1_1_4,1000,1000,12,10,24.856638097242957,1,1.0,0.0
600,0.01,15.0,1.0,95.0,5.9399999999999995,2.437211521390788,90.0,1_1_5,1000,1000,6,8,32.07766953114482,1,1.0,0.0
700,0.01,15.0,1.0,111.0,6.93,2.6324893162176366,105.0,1_1_6,1000,1000,17,14,25.02674497148013,1,1.0,0.0
800,0.01,15.0,1.0,131.0,7.92,2.814249455894058,120.0,1_1_7,1000,1000,15,5,29.398657021039938,1,1.0,0.0
900,0.01,15.0,1.0,143.0,8.91,2.98496231131986,135.0,1_1_8,1000,1000,6,16,37.75346604936306,1,1.0,0.0
1000,0.01,20.0,1.0,206.0,9.9,3.146426544510455,200.0,1_1_9,1000,1000,13,11,46.91243148497182,1,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,1_2_0,1000,1000,14,11,0.5965174740564988,1,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,1_2_1,1000,1000,10,13,9.260613678541587,1,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,1_2_2,1000,1000,10,6,10.771607658299803,1,1.0,0.0
400,0.01,10.0,1.0,41.0,3.96,1.98997487421324,40.0,1_2_3,1000,1000,9,7,12.587261605412952,1,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,1_2_4,1000,1000,6,13,30.41622637507783,1,1.0,0.0
600,0.01,15.0,1.0,95.0,5.9399999999999995,2.437211521390788,90.0,1_2_5,1000,1000,15,11,24.555809921602435,1,1.0,0.0
700,0.01,15.0,1.0,109.0,6.93,2.6324893162176366,105.0,1_2_6,1000,1000,11,15,28.75178966115868,1,1.0,0.0
800,0.01,15.0,1.0,128.0,7.92,2.814249455894058,120.0,1_2_7,1000,1000,10,10,32.49404818061776,1,1.0,0.0
900,0.01,15.0,1.0,144.0,8.91,2.98496231131986,135.0,1_2_8,1000,1000,10,9,33.988395175384056,1,1.0,0.0
1000,0.01,20.0,1.0,204.0,9.9,3.146426544510455,200.0,1_2_9,1000,1000,12,9,47.25126160444619,1,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,2_0_0,1000,1000,14,10,0.5970430153735063,2,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,2_0_1,1000,1000,7,6,9.415877188291248,2,1.0,0.0
300,0.01,10.0,1.0,35.0,2.9699999999999998,1.7233687939614086,30.0,2_0_2,1000,1000,11,14,11.864999781573557,2,1.0,0.0
400,0.01,10.0,1.0,41.0,3.96,1.98997487421324,40.0,2_0_3,1000,1000,3,9,17.236157483024478,2,1.0,0.0
500,0.01,15.0,1.0,83.0,4.95,2.224859546128699,75.0,2_0_4,1000,1000,5,9,32.47071835110372,2,1.0,0.0
600,0.01,15.0,1.0,94.0,5.9399999999999995,2.437211521390788,90.0,2_0_5,1000,1000,12,9,26.322845680849976,2,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,2_0_6,1000,1000,17,11,25.393928876033836,2,1.0,0.0
800,0.01,15.0,1.0,130.0,7.92,2.814249455894058,120.0,2_0_7,1000,1000,10,6,33.21803805662931,2,1.0,0.0
900,0.01,15.0,1.0,144.0,8.91,2.98496231131986,135.0,2_0_8,1000,1000,11,10,33.06595579222954,2,1.0,0.0
1000,0.01,20.0,1.0,208.0,9.9,3.146426544510455,200.0,2_0_9,1000,1000,10,11,50.62510705982574,2,1.0,0.0
100,0.01,5.0,1.0,8.0,0.99,0.99498743710662,5.0,2_1_0,1000,1000,10,13,2.853712813093376,2,1.0,0.0
200,0.01,10.0,1.0,24.0,1.98,1.407124727947029,20.0,2_1_1,1000,1000,6,13,12.033868190913589,2,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,2_1_2,1000,1000,9,8,10.756119399431075,2,1.0,0.0
400,0.01,10.0,1.0,47.0,3.96,1.98997487421324,40.0,2_1_3,1000,1000,11,13,14.258713583582685,2,1.0,0.0
500,0.01,15.0,1.0,82.0,4.95,2.224859546128699,75.0,2_1_4,1000,1000,14,10,24.35831614417641,2,1.0,0.0
600,0.01,15.0,1.0,92.0,5.9399999999999995,2.437211521390788,90.0,2_1_5,1000,1000,15,8,23.363024805500366,2,1.0,0.0
700,0.01,15.0,1.0,112.0,6.93,2.6324893162176366,105.0,2_1_6,1000,1000,10,8,30.777739173291163,2,1.0,0.0
800,0.01,15.0,1.0,126.0,7.92,2.814249455894058,120.0,2_1_7,1000,1000,8,11,33.67468335521382,2,1.0,0.0
900,0.01,15.0,1.0,143.0,8.91,2.98496231131986,135.0,2_1_8,1000,1000,5,12,38.94633992404768,2,1.0,0.0
1000,0.01,20.0,1.0,209.0,9.9,3.146426544510455,200.0,2_1_9,1000,1000,14,9,46.92712450724002,2,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,2_2_0,1000,1000,13,8,0.7000616816167966,2,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,2_2_1,1000,1000,6,8,10.638657566315368,2,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,2_2_2,1000,1000,10,4,10.235572660785524,2,1.0,0.0
400,0.01,10.0,1.0,41.0,3.96,1.98997487421324,40.0,2_2_3,1000,1000,9,16,12.570344889492116,2,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,2_2_4,1000,1000,11,18,25.582335975662815,2,1.0,0.0
600,0.01,15.0,1.0,92.0,5.9399999999999995,2.437211521390788,90.0,2_2_5,1000,1000,4,13,32.94061286026966,2,1.0,0.0
700,0.01,15.0,1.0,107.0,6.93,2.6324893162176366,105.0,2_2_6,1000,1000,14,11,25.676265579830222,2,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,2_2_7,1000,1000,11,9,31.95855912645896,2,1.0,0.0
900,0.01,15.0,1.0,139.0,8.91,2.98496231131986,135.0,2_2_8,1000,1000,18,12,25.98159302461966,2,1.0,0.0
1000,0.01,20.0,1.0,208.0,9.9,3.146426544510455,200.0,2_2_9,1000,1000,15,9,45.67797240987052,2,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,3_0_0,1000,1000,10,11,1.0460863057719187,3,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,3_0_1,1000,1000,13,16,7.427134315161371,3,1.0,0.0
300,0.01,10.0,1.0,34.0,2.9699999999999998,1.7233687939614086,30.0,3_0_2,1000,1000,9,7,12.418293975248977,3,1.0,0.0
400,0.01,10.0,1.0,49.0,3.96,1.98997487421324,40.0,3_0_3,1000,1000,11,8,15.231603937301333,3,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,3_0_4,1000,1000,12,14,23.931109111461495,3,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,3_0_5,1000,1000,10,10,29.188711425073095,3,1.0,0.0
700,0.01,15.0,1.0,113.0,6.93,2.6324893162176366,105.0,3_0_6,1000,1000,7,12,34.00620285624915,3,1.0,0.0
800,0.01,15.0,1.0,131.0,7.92,2.814249455894058,120.0,3_0_7,1000,1000,7,11,36.53533097964635,3,1.0,0.0
900,0.01,15.0,1.0,140.0,8.91,2.98496231131986,135.0,3_0_8,1000,1000,7,7,35.65610137356994,3,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,3_0_9,1000,1000,9,8,52.40331619244961,3,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,3_1_0,1000,1000,10,11,1.596248626136098,3,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,3_1_1,1000,1000,12,11,6.603921454003625,3,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,3_1_2,1000,1000,13,14,9.845206574359034,3,1.0,0.0
400,0.01,10.0,1.0,42.0,3.96,1.98997487421324,40.0,3_1_3,1000,1000,6,4,15.133943802829503,3,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,3_1_4,1000,1000,10,13,26.84391903288601,3,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,3_1_5,1000,1000,7,12,31.926414879920543,3,1.0,0.0
700,0.01,15.0,1.0,110.0,6.93,2.6324893162176366,105.0,3_1_6,1000,1000,8,5,31.847537899495038,3,1.0,0.0
800,0.01,15.0,1.0,129.0,7.92,2.814249455894058,120.0,3_1_7,1000,1000,12,9,31.097218862324134,3,1.0,0.0
900,0.01,15.0,1.0,147.0,8.91,2.98496231131986,135.0,3_1_8,1000,1000,5,11,40.33938738280912,3,1.0,0.0
1000,0.01,20.0,1.0,208.0,9.9,3.146426544510455,200.0,3_1_9,1000,1000,13,9,47.56258170566514,3,1.0,0.0
100,0.01,5.0,1.0,7.0,0.99,0.99498743710662,5.0,3_2_0,1000,1000,11,12,2.0274454918884905,3,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,3_2_1,1000,1000,9,13,8.427715936618895,3,1.0,0.0
300,0.01,10.0,1.0,35.0,2.9699999999999998,1.7233687939614086,30.0,3_2_2,1000,1000,6,13,14.926121633981714,3,1.0,0.0
400,0.01,10.0,1.0,44.0,3.96,1.98997487421324,40.0,3_2_3,1000,1000,11,6,12.841082453372005,3,1.0,0.0
500,0.01,15.0,1.0,81.0,4.95,2.224859546128699,75.0,3_2_4,1000,1000,10,6,26.858823356702473,3,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,3_2_5,1000,1000,12,10,27.565207050413875,3,1.0,0.0
700,0.01,15.0,1.0,113.0,6.93,2.6324893162176366,105.0,3_2_6,1000,1000,6,10,35.076326432304285,3,1.0,0.0
800,0.01,15.0,1.0,131.0,7.92,2.814249455894058,120.0,3_2_7,1000,1000,13,10,30.966285713760815,3,1.0,0.0
900,0.01,15.0,1.0,144.0,8.91,2.98496231131986,135.0,3_2_8,1000,1000,6,17,38.09377080908728,3,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,3_2_9,1000,1000,7,8,54.75596372722271,3,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,4_0_0,1000,1000,7,13,1.562850830746097,4,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,4_0_1,1000,1000,7,7,8.745557977877205,4,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,4_0_2,1000,1000,13,13,9.335368356224066,4,1.0,0.0
400,0.01,10.0,1.0,44.0,3.96,1.98997487421324,40.0,4_0_3,1000,1000,17,8,9.922928278283345,4,1.0,0.0
500,0.01,15.0,1.0,76.0,4.95,2.224859546128699,75.0,4_0_4,1000,1000,10,15,24.50341302346058,4,1.0,0.0
600,0.01,15.0,1.0,99.0,5.9399999999999995,2.437211521390788,90.0,4_0_5,1000,1000,7,6,32.82044938828,4,1.0,0.0
700,0.01,15.0,1.0,111.0,6.93,2.6324893162176366,105.0,4_0_6,1000,1000,11,12,29.524091610890956,4,1.0,0.0
800,0.01,15.0,1.0,123.0,7.92,2.814249455894058,120.0,4_0_7,1000,1000,6,5,34.69142008967256,4,1.0,0.0
900,0.01,15.0,1.0,142.0,8.91,2.98496231131986,135.0,4_0_8,1000,1000,9,14,34.26540231258842,4,1.0,0.0
1000,0.01,20.0,1.0,206.0,9.9,3.146426544510455,200.0,4_0_9,1000,1000,15,7,45.04595268323863,4,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,4_1_0,1000,1000,5,6,2.7926081346198828,4,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,4_1_1,1000,1000,7,10,10.079177178668143,4,1.0,0.0
300,0.01,10.0,1.0,38.0,2.9699999999999998,1.7233687939614086,30.0,4_1_2,1000,1000,8,7,15.31431239095611,4,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,4_1_3,1000,1000,7,11,14.886311075362203,4,1.0,0.0
500,0.01,15.0,1.0,79.0,4.95,2.224859546128699,75.0,4_1_4,1000,1000,10,14,25.902786458735104,4,1.0,0.0
600,0.01,15.0,1.0,96.0,5.9399999999999995,2.437211521390788,90.0,4_1_5,1000,1000,5,11,33.58684155972991,4,1.0,0.0
700,0.01,15.0,1.0,116.0,6.93,2.6324893162176366,105.0,4_1_6,1000,1000,11,6,31.460966867679332,4,1.0,0.0
800,0.01,15.0,1.0,127.0,7.92,2.814249455894058,120.0,4_1_7,1000,1000,10,11,32.135220020734124,4,1.0,0.0
900,0.01,15.0,1.0,144.0,8.91,2.98496231131986,135.0,4_1_8,1000,1000,10,11,33.98275545181141,4,1.0,0.0
1000,0.01,20.0,1.0,214.0,9.9,3.146426544510455,200.0,4_1_9,1000,1000,10,8,52.62277615707105,4,1.0,0.0
100,0.01,5.0,1.0,8.0,0.99,0.99498743710662,5.0,4_2_0,1000,1000,18,12,1.5533379156256095,4,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,4_2_1,1000,1000,11,10,8.190849320389207,4,1.0,0.0
300,0.01,10.0,1.0,37.0,2.9699999999999998,1.7233687939614086,30.0,4_2_2,1000,1000,9,8,14.113643994459414,4,1.0,0.0
400,0.01,10.0,1.0,41.0,3.96,1.98997487421324,40.0,4_2_3,1000,1000,10,11,11.994648163160273,4,1.0,0.0
500,0.01,15.0,1.0,80.0,4.95,2.224859546128699,75.0,4_2_4,1000,1000,10,7,26.387006617122445,4,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,4_2_5,1000,1000,9,8,30.05852597935198,4,1.0,0.0
700,0.01,15.0,1.0,109.0,6.93,2.6324893162176366,105.0,4_2_6,1000,1000,11,12,28.759955888217227,4,1.0,0.0
800,0.01,15.0,1.0,132.0,7.92,2.814249455894058,120.0,4_2_7,1000,1000,11,11,33.018726261120705,4,1.0,0.0
900,0.01,15.0,1.0,149.0,8.91,2.98496231131986,135.0,4_2_8,1000,1000,10,17,35.63138333660224,4,1.0,0.0
1000,0.01,20.0,1.0,212.0,9.9,3.146426544510455,200.0,4_2_9,1000,1000,7,8,55.43060491204576,4,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,5_0_0,1000,1000,10,6,1.601498773787504,5,1.0,0.0
200,0.01,10.0,1.0,20.0,1.98,1.407124727947029,20.0,5_0_1,1000,1000,11,12,6.9598560906794225,5,1.0,0.0
300,0.01,10.0,1.0,31.0,2.9699999999999998,1.7233687939614086,30.0,5_0_2,1000,1000,5,18,13.25885895017112,5,1.0,0.0
400,0.01,10.0,1.0,46.0,3.96,1.98997487421324,40.0,5_0_3,1000,1000,9,5,15.020490559425872,5,1.0,0.0
500,0.01,15.0,1.0,85.0,4.95,2.224859546128699,75.0,5_0_4,1000,1000,9,13,29.574347190787652,5,1.0,0.0
600,0.01,15.0,1.0,94.0,5.9399999999999995,2.437211521390788,90.0,5_0_5,1000,1000,14,7,24.857115463152468,5,1.0,0.0
700,0.01,15.0,1.0,115.0,6.93,2.6324893162176366,105.0,5_0_6,1000,1000,15,3,27.917488149606086,5,1.0,0.0
800,0.01,15.0,1.0,130.0,7.92,2.814249455894058,120.0,5_0_7,1000,1000,7,13,36.15905634668372,5,1.0,0.0
900,0.01,15.0,1.0,145.0,8.91,2.98496231131986,135.0,5_0_8,1000,1000,10,6,34.32551797079229,5,1.0,0.0
1000,0.01,20.0,1.0,206.0,9.9,3.146426544510455,200.0,5_0_9,1000,1000,6,13,54.643745653810164,5,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,5_1_0,1000,1000,8,9,1.9825735392079455,5,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,5_1_1,1000,1000,9,11,9.077618586310198,5,1.0,0.0
300,0.01,10.0,1.0,33.0,2.9699999999999998,1.7233687939614086,30.0,5_1_2,1000,1000,10,11,11.306723797312534,5,1.0,0.0
400,0.01,10.0,1.0,44.0,3.96,1.98997487421324,40.0,5_1_3,1000,1000,11,14,12.831688186631272,5,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,5_1_4,1000,1000,7,13,27.992831857757025,5,1.0,0.0
600,0.01,15.0,1.0,101.0,5.9399999999999995,2.437211521390788,90.0,5_1_5,1000,1000,5,9,35.836687341250254,5,1.0,0.0
700,0.01,15.0,1.0,111.0,6.93,2.6324893162176366,105.0,5_1_6,1000,1000,11,13,29.52144110452991,5,1.0,0.0
800,0.01,15.0,1.0,127.0,7.92,2.814249455894058,120.0,5_1_7,1000,1000,14,10,28.78633342783181,5,1.0,0.0
900,0.01,15.0,1.0,146.0,8.91,2.98496231131986,135.0,5_1_8,1000,1000,13,13,31.975948768550154,5,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,5_1_9,1000,1000,12,12,49.19379470972106,5,1.0,0.0
100,0.01,5.0,1.0,5.0,0.99,0.99498743710662,5.0,5_2_0,1000,1000,7,7,1.5669093366886093,5,1.0,0.0
200,0.01,10.0,1.0,21.0,1.98,1.407124727947029,20.0,5_2_1,1000,1000,11,4,7.5813884925904,5,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,5_2_2,1000,1000,10,11,10.763788333645818,5,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,5_2_3,1000,1000,10,10,12.941943477477386,5,1.0,0.0
500,0.01,15.0,1.0,79.0,4.95,2.224859546128699,75.0,5_2_4,1000,1000,7,9,28.492637440888938,5,1.0,0.0
600,0.01,15.0,1.0,97.0,5.9399999999999995,2.437211521390788,90.0,5_2_5,1000,1000,7,6,31.942145663685256,5,1.0,0.0
700,0.01,15.0,1.0,111.0,6.93,2.6324893162176366,105.0,5_2_6,1000,1000,9,11,31.281808240485596,5,1.0,0.0
800,0.01,15.0,1.0,133.0,7.92,2.814249455894058,120.0,5_2_7,1000,1000,15,7,30.08192377588907,5,1.0,0.0
900,0.01,15.0,1.0,141.0,8.91,2.98496231131986,135.0,5_2_8,1000,1000,9,7,33.94891045635866,5,1.0,0.0
1000,0.01,20.0,1.0,209.0,9.9,3.146426544510455,200.0,5_2_9,1000,1000,14,7,46.93090730258667,5,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,6_0_0,1000,1000,7,7,2.2250412987309507,6,1.0,0.0
200,0.01,10.0,1.0,22.0,1.98,1.407124727947029,20.0,6_0_1,1000,1000,8,11,9.561090766929777,6,1.0,0.0
300,0.01,10.0,1.0,32.0,2.9699999999999998,1.7233687939614086,30.0,6_0_2,1000,1000,11,6,10.258308201634602,6,1.0,0.0
400,0.01,10.0,1.0,43.0,3.96,1.98997487421324,40.0,6_0_3,1000,1000,9,7,13.549510141784287,6,1.0,0.0
500,0.01,15.0,1.0,77.0,4.95,2.224859546128699,75.0,6_0_4,1000,1000,12,11,23.483634357261614,6,1.0,0.0
600,0.01,15.0,1.0,95.0,5.9399999999999995,2.437211521390788,90.0,6_0_5,1000,1000,11,10,27.51710030007128,6,1.0,0.0
700,0.01,15.0,1.0,109.0,6.93,2.6324893162176366,105.0,6_0_6,1000,1000,14,7,26.420237766148716,6,1.0,0.0
800,0.01,15.0,1.0,136.0,7.92,2.814249455894058,120.0,6_0_7,1000,1000,10,8,35.37683333565326,6,1.0,0.0
900,0.01,15.0,1.0,147.0,8.91,2.98496231131986,135.0,6_0_8,1000,1000,10,11,34.97857798689095,6,1.0,0.0
1000,0.01,20.0,1.0,210.0,9.9,3.146426544510455,200.0,6_0_9,1000,1000,10,12,51.28378579330906,6,1.0,0.0
100,0.01,5.0,1.0,6.0,0.99,0.99498743710662,5.0,6_1_0,1000,1000,5,12,2.7849662912605373,6,1.0,0.0
200,0.01,10.0,1.0,23.0,1.98,1.407124727947029,20.0,6_1_1,1000,1000,12,10,8.414674995849968,6,1.0,0.0
300,0.01,10.0,1.0,37.0,2.9699999999999998,1.7233687939614086,30.0,6_1_2,1000,1000,4,9,17.766163781946577,6,1.0,0.0
400,0.01,10.0,1.0,45.0,3.96,1.98997487421324,40.0,6_1_3,1000,1000,9,8,14.519910384697399,6,1.0,0.0
500,0.01,15.0,1.0,78.0,4.95,2.224859546128699,75.0,6_1_4,1000,1000,11,11,24.668438924322086,6,1.0,0.0
600,0.01,15.0,1.0,99.0,5.9399999999999995,2.437211521390788,90.0,6_1_5,1000,1000,12,11,28.397346112101445,6,1.0,0.0
700,0.01,15.0,1.0,114.0,6.93,2.6324893162176366,105.0,6_1_6,1000,1000,11,11,30.679171721714273,6,1.0,0.0
800,0.01,15.0,1.0,132.0,7.92,2.814249455894058,120.0,6_1_7,1000,1000,8,11,35.86076227477521,6,1.0,0.0
900,0.01,15.0,1.0,143.0,8.91,2.98496231131986,135.0,6_1_8,1000,1000,9,13,34.60229742320655,6,1.0,0.0
1000,0.01,20.0,1.0,209.0,9.9,3.146426544510455,200.0,6_1_9,1000,1000,5,13,56.984245349898565,6,1.0,0.0
